起始点(固定),,,,,停止点,,,
,x,y,z,,time,x,y,z
前腹(AD),124.124,-34.398,-143.361,,0,113.287,-60.697,-155.72
後腹(PD),74.291,-126.855,-96.865,,0.1,113.294,-60.77,-155.646
,,,,,0.2,113.063,-60.935,-155.096
,,,,,0.3,112.621,-62.253,-151.712
,,,,,0.4,112.338,-62.643,-150.347
,,,,,0.5,111.365,-62.311,-149.713
,,,,,0.6,112.152,-60.28,-146.912
,,,,,0.7,111.74,-59.275,-137.885
,,,,,0.8,112.775,-58.713,-137.496
,,,,,0.9,112.849,-57.843,-136.2
,,,,,1,112.766,-58.243,-135.478
,,,,,1.1,112.74,-58.285,-135.438
,,,,,1.2,113.082,-58.067,-136.389
,,,,,1.3,113.826,-56.993,-140.995
,,,,,1.4,113.656,-58.38,-142.348
,,,,,1.5,113.366,-60.255,-143.503
,,,,,1.6,114.267,-60.506,-144.894
,,,,,1.7,114.237,-61.164,-145.719
,,,,,1.8,113.821,-61.538,-146.372
,,,,,1.9,113.754,-61.682,-146.93
